sindresorhus,awesome-electron,19650,44,35,9
Netflix,Hystrix,19637,997,671,326
railsware,upterm,19635,753,534,219
github,hub,19616,1696,1505,191
SwiftyJSON,SwiftyJSON,19570,646,558,88
docker,compose,19547,4890,4559,331
airbnb,lottie-ios,19533,810,677,133
FFmpeg,FFmpeg,19507,0,0,0
reduxjs,react-redux,19446,1042,1019,23
SwiftGGTeam,the-swift-programming-language-in-chinese,19372,321,320,1
byoungd,English-level-up-tips-for-Chinese,19354,54,43,11
florinpop17,app-ideas,19353,18,7,11
alebcay,awesome-shell,19345,37,16,21
hankcs,HanLP,19341,1370,1363,7
liyasthomas,postwoman,19320,304,291,13
MunGell,awesome-for-beginners,19319,57,57,0
mochajs,mocha,19308,2509,2252,257
obsproject,obs-studio,19303,472,355,117
guzzle,guzzle,19282,1586,1356,230
pyenv,pyenv,19277,1089,906,183
BradLarson,GPUImage,19256,2199,1300,899
usablica,intro.js,19252,585,370,215
atlassian,react-beautiful-dnd,19250,1041,845,196
powerline,fonts,19234,223,81,142
markerikson,react-redux-links,19223,32,21,11
pugjs,pug,19210,2418,2201,217
kon9chunkit,GitHub-Chinese-Top-Charts,19168,91,28,63
matteocrippa,awesome-swift,19167,110,110,0
PowerShell,PowerShell,19142,7455,5048,2407
dokku,dokku,19119,2008,1973,35
hashicorp,consul,19118,3737,3155,582
jgm,pandoc,19108,5012,4444,568
petkaantonov,bluebird,19097,1113,1057,56
tornadoweb,tornado,19080,1565,1400,165
julycoding,The-Art-Of-Programming-By-July,19067,127,82,45
ColorlibHQ,gentelella,19065,618,605,13
MrRio,jsPDF,19064,1694,1490,204
tipsy,profile-summary-for-github,19063,65,54,11
jobbole,awesome-python-cn,19051,14,12,2
nefe,You-Dont-Need-jQuery,19045,64,57,7
emscripten-core,emscripten,19041,5274,4640,634
typeorm,typeorm,19016,4739,3051,1688
dmlc,xgboost,19012,3416,3190,226
FallibleInc,security-guide-for-developers,19003,11,4,7
bvaughn,react-virtualized,18999,958,684,274
googlehosts,hosts,18998,378,334,44
paularmstrong,normalizr,18946,279,264,15
ReactiveX,RxAndroid,18938,336,336,0
typicode,husky,18905,498,369,129
junegunn,vim-plug,18904,746,706,40
ramda,ramda,18870,1439,1252,187
futurice,android-best-practices,18866,83,61,22
influxdata,influxdb,18854,9858,9074,784
formulahendry,955.WLB,18799,182,59,123
SamyPesse,How-to-Make-a-Computer-Operating-System,18762,63,25,38
mitmproxy,mitmproxy,18747,2203,1940,263
enzymejs,enzyme,18723,1623,1404,219
jlmakes,scrollreveal,18708,453,444,9
chubin,cheat.sh,18691,121,60,61
apache,incubator-mxnet,18680,8913,7217,1696
domnikl,DesignPatternsPHP,18672,93,90,3
vapor,vapor,18654,1252,1209,43
react-native-elements,react-native-elements,18616,1422,1344,78
doczjs,docz,18579,1061,987,74
inconshreveable,ngrok,18579,592,372,220
Advanced-Frontend,Daily-Interview-Question,18570,354,199,155
google,web-starter-kit,18562,580,533,47
NativeScript,NativeScript,18523,5637,4998,639
donnemartin,data-science-ipython-notebooks,18448,27,19,8
lydiahallie,javascript-questions,18437,108,79,29
nlohmann,json,18418,1622,1590,32
Prinzhorn,skrollr,18417,776,533,243
ReactiveX,RxSwift,18414,1052,1023,29
postcss,autoprefixer,18409,1020,997,23
mqyqingfeng,Blog,18408,167,78,89
HeroTransitions,Hero,18363,542,372,170
verekia,js-stack-from-scratch,18352,156,118,38
jinzhu,gorm,18349,2425,1781,644
chenglou,react-motion,18316,386,241,145
segmentio,nightmare,18311,1206,1056,150
wsargent,docker-cheat-sheet,18274,27,22,5
lukasz-madon,awesome-remote-job,18231,37,35,2
trailofbits,algo,18222,1262,1199,63
kubernetes,minikube,18203,4354,3927,427
mattermost,mattermost-server,18200,4635,4260,375
nagadomi,waifu2x,18199,265,160,105
cockroachdb,cockroach,18193,24908,21733,3175
rollup,rollup,18164,2258,2073,185
kataras,iris,18125,542,526,16
ruanyf,es6tutorial,18105,470,470,0
react-navigation,react-navigation,18099,6896,6744,152
ftlabs,fastclick,18064,389,179,210
bcit-ci,CodeIgniter,18047,3108,3055,53
facebook,draft-js,18032,1501,895,606
feathericons,feather,18031,457,192,265
MostlyAdequate,mostly-adequate-guide,18011,227,185,42
dotnet,corefx,17892,0,0,0
avajs,ava,17887,1349,1199,150
mongodb,mongo,17877,0,0,0
fastai,fastai,17855,1035,1032,3
tj,commander.js,17842,669,657,12
veggiemonk,awesome-docker,17807,98,98,0
google,gson,17798,1263,850,413
bilibili,flv.js,17759,519,260,259
SnapKit,Masonry,17722,437,328,109
balena-io,etcher,17714,1404,1181,223
cfenollosa,os-tutorial,17701,81,50,31
tmux,tmux,17687,1868,1864,4
nsqio,nsq,17672,523,473,50
afollestad,material-dialogs,17670,1181,1141,40
Popmotion,popmotion,17666,544,534,10
swagger-api,swagger-ui,17664,4045,3555,490
xi-editor,xi-editor,17659,504,382,122
ipfs,ipfs,17658,202,202,0
SeleniumHQ,selenium,17657,6455,6057,398
JohnCoates,Aerial,17638,715,687,28
react-bootstrap,react-bootstrap,17591,2676,2584,92
pcottle,learnGitBranching,17584,316,283,33
QSCTech,zju-icicles,17574,32,26,6
alibaba,weex,17572,1845,1310,535
OAI,OpenAPI-Specification,17562,1444,1017,427
openfaas,faas,17562,681,617,64
pjreddie,darknet,17546,1922,457,1465
ianstormtaylor,slate,17525,2218,2033,185
jcjohnson,neural-style,17522,435,141,294
acmesh-official,acme.sh,17509,1691,1191,500
dhg,Skeleton,17492,193,122,71
ruanyf,jstraining,17464,41,41,0
square,picasso,17452,1499,1318,181
parse-community,parse-server,17448,3653,3558,95
odoo,odoo,17443,12337,11077,1260
Seldaek,monolog,17399,619,582,37
dotnet,aspnetcore,17382,15626,13320,2306
jaredhanson,passport,17372,642,323,319
